Image,x0,x1,y0,y1
965de6a7c.jpg,2,1036,55,461
265e16f33.jpg,2,1007,199,445
419d217ac.jpg,6,1031,117,543
78e4be95a.jpg,105,933,232,576
bd88ef217.jpg,2,1036,47,416
7016e8518.jpg,68,970,105,478
aed222706.jpg,10,2123,103,507
296c15a48.jpg,6,1036,182,511
106f7086f.jpg,68,974,113,494
3b93ec51a.jpg,55,925,84,429
80efd7b6e.jpg,232,790,162,449
d0c8da9ec.jpg,24,636,141,264
a0a23b34a.jpg,68,789,77,366
eeef839d1.jpg,5,819,83,326
8d4603414.jpg,2,1036,2,277
a890b52fd.jpg,2,700,27,282
8835fdfe2.jpg,178,783,49,615
6e3154fad.jpg,2,1036,6,228
76d571d59.jpg,2,1036,219,498
3b6fa3ee6.jpg,39,1031,199,445
885695db2.jpg,2,529,46,188
599f3f2e3.jpg,2,1031,129,359
e01e495c7.jpg,215,859,375,543
35422a88d.jpg,23,1031,51,363
d531498d2.jpg,49,940,162,420
7d9241b94.jpg,35,954,203,543
849e784de.jpg,2,1036,105,396
53c155eaa.jpg,35,855,203,433
828d8d0d1.jpg,178,753,166,445
410e05dfc.jpg,178,884,117,543
dda42ae36.jpg,2,846,61,414
787cc87ac.jpg,2,1036,2,375
c09ed15b3.jpg,10,2101,2,368
5f41af399.jpg,6,1036,2,260
a63d1e2b0.jpg,2,1036,6,228
b79e51dba.jpg,80,954,170,461
360a0d7d9.jpg,2,867,108,335
8004878e4.jpg,2,1031,31,367
21610b467.jpg,64,966,68,527
dfa7f06a7.jpg,6,1036,84,314
4ba00ea57.jpg,2,1036,113,375
b79e881ac.jpg,2,1036,2,490
006506edf.jpg,2,1036,2,392
849d0a91d.jpg,2,1036,23,379
a670c5bc2.jpg,2,1036,105,506
09886b556.jpg,6,1036,68,342
dfa99adb6.jpg,2,691,5,286
af88b3e95.jpg,117,904,203,539
a44146e79.jpg,107,464,2,301
f3af59c7a.jpg,20,863,86,396
707b977cf.jpg,2,1007,113,334
bd6d8bc18.jpg,2,690,16,177
c46d68607.jpg,2,1036,2,252
2be1a4b7a.jpg,35,1036,232,523
ba63b9adf.jpg,6,1007,2,494
9a5e5db5b.jpg,72,1023,264,511
2353584e6.jpg,51,925,55,548
2d994cae2.jpg,46,646,149,366
90291b5c1.jpg,2,691,27,333
67f350dca.jpg,51,986,137,367
4912cd5bb.jpg,6,1031,117,429
f82a79f07.jpg,2,1036,31,461
bad9af0be.jpg,2,1036,6,416
6cb35dbbc.jpg,39,986,162,445
ccbb5b8fb.jpg,31,1031,2,679
