Image,x0,y0,x1,y1
72c3ce75c.jpg,0,0,1045,389
a7ad640ee.jpg,35,71,523,291
df2b6c364.jpg,12,15,1033,308
26013fcb5.jpg,3,1,1024,292
09eff7b37.jpg,11,8,926,334
321f922d3.jpg,23,87,600,210
a08161913.jpg,3,24,547,274
d2dde23b0.jpg,18,219,1029,461
111d1ab30.jpg,31,48,1042,239
cec27e4e3.jpg,58,185,962,487
89acede28.jpg,56,131,996,313
b592e25d4.jpg,41,73,1005,323
621c3ed03.jpg,0,293,1028,535
86517d536.jpg,24,55,438,205
c5f4b73be.jpg,13,100,982,507
5afaf2ffd.jpg,168,76,789,315
b060f5529.jpg,6,62,988,414
7919aa309.jpg,99,32,938,592
5a35f6ded.jpg,61,61,1016,508
f25a1c3f5.jpg,21,235,986,513
8d4453e81.jpg,9,304,1017,572
3b2468366.jpg,12,95,878,334
929b9b616.jpg,22,123,1012,345
e2deae874.jpg,121,129,878,514
6802020c8.jpg,51,0,991,581
1b5501c54.jpg,23,77,725,240
54cfc2e29.jpg,12,37,1022,291
935851f78.jpg,0,0,1039,307
2f794634f.jpg,0,5,1040,333
9659257b6.jpg,13,49,1019,410
9d83a3f97.jpg,60,172,918,520
6516fdf9a.jpg,0,55,1018,422
50e48ba76.jpg,27,75,517,357
7b65d88a1.jpg,56,19,816,448
430e59cfe.jpg,55,68,865,242
8aec615b2.jpg,144,40,919,344
f9832ec6b.jpg,34,16,1021,422
8ec227a2d.jpg,275,141,824,280
6325cd7bc.jpg,13,14,357,170
773996d67.jpg,0,172,688,308
8121b306c.jpg,22,29,616,240
4ef622128.jpg,0,3,1034,306
417a39ef8.jpg,14,60,1020,403
129776139.jpg,17,121,668,284
77b7e53cd.jpg,6,20,310,100
42fdde329.jpg,0,118,675,324
915f52b29.jpg,19,19,606,141
4bfb77747.jpg,2,82,612,208
0f61f7349.jpg,34,158,971,501
439867f0f.jpg,20,21,1050,480
83ba3bdea.jpg,16,146,1036,380
93d091bc1.jpg,113,166,836,420
476c2eb33.jpg,39,44,1009,287
d36d43a20.jpg,11,24,1030,429
a52530551.jpg,21,72,934,251
3cffa45c3.jpg,0,8,1028,283
30313cca2.jpg,95,144,889,455
02dfe3c04.jpg,15,314,1010,629
7971a68ba.jpg,0,0,1050,341
434117dc5.jpg,0,6,1018,334
40de7bb70.jpg,13,18,1037,235
77714a6a5.jpg,15,107,1037,287
e5cf9ad44.jpg,3,87,1021,352
979f47898.jpg,128,214,937,500
5447bd0dc.jpg,0,0,1050,318
721680cca.jpg,29,45,836,422
f2d1c8ffe.jpg,48,145,948,457
ee88bb6d0.jpg,181,275,898,495
ea9995722.jpg,19,120,677,266
0811188a6.jpg,27,81,1002,398
323a81cdc.jpg,244,200,891,479
6b74f2430.jpg,61,56,944,660
74d7e9950.jpg,53,94,1022,362
47e71881d.jpg,10,32,819,244
c19895cb2.jpg,0,0,1029,186
8b10db8af.jpg,11,12,1041,265
4e361d4dd.jpg,37,23,502,234
c877537e3.jpg,25,52,563,227
8c50ecf42.jpg,108,129,892,485
87a947c58.jpg,9,3,1041,354
de8d7aa2f.jpg,61,209,1017,461
70ced4a03.jpg,45,100,1012,344
ed5a12865.jpg,22,139,1013,418
b9908b865.jpg,0,85,1034,473
0b91604a1.jpg,32,93,1021,564
c9c36c196.jpg,32,114,661,324
07250af68.jpg,119,152,960,542
7675b59c4.jpg,11,149,1017,432
60739de55.jpg,33,80,683,291
04a973240.jpg,0,0,1050,372
0cacd7317.jpg,329,16,841,344
ee973fb51.jpg,6,7,1033,194
6d21e6002.jpg,12,229,1031,520
d37dcccd6.jpg,15,42,1023,342
b46fc8282.jpg,2,236,1017,466
034176bf3.jpg,10,72,1014,341
7dcbd7e9b.jpg,11,0,980,598
a97caed52.jpg,47,212,974,419
ab5e2ef88.jpg,99,45,968,282
a20b60095.jpg,59,151,967,568
2eb652f75.jpg,54,187,982,497
dddc7467f.jpg,13,90,675,259
2690eea21.jpg,6,85,890,350
4cba22fda.jpg,57,160,655,303
2fcb9b96c.jpg,35,58,1023,531
492edcffd.jpg,1,0,822,720
f0e209e32.jpg,132,105,978,341
89691086c.jpg,33,6,301,275
75e041765.jpg,0,0,1029,162
415948e17.jpg,29,206,766,383
800ac9c4c.jpg,46,57,1002,392
6d025bb93.jpg,30,8,1036,536
61747578d.jpg,68,84,953,408
5e1487a7b.jpg,100,138,991,364
fe943748b.jpg,18,126,617,269
8972f1669.jpg,66,194,955,488
70b718db5.jpg,53,1,995,450
234a873a8.jpg,5,169,1035,398
59ced9f36.jpg,35,196,992,503
fae3fc649.jpg,22,25,1013,536
11d39fc43.jpg,9,67,674,227
72247654d.jpg,46,150,1012,577
69510e71b.jpg,43,196,949,508
461ce2c39.jpg,36,134,979,424
d0e1772f3.jpg,82,159,968,496
68580b658.jpg,8,212,995,449
d7c54a090.jpg,17,81,887,381
9ce417a0b.jpg,3,8,677,165
20d96f6e9.jpg,42,62,1002,408
fdff85974.jpg,5,21,1013,351
ac17365b1.jpg,53,176,963,446
64e4b9399.jpg,0,21,928,533
c905d07c9.jpg,37,111,869,299
29fa5bbc5.jpg,49,113,552,309
42da4ddf6.jpg,2,40,688,225
c0c111f43.jpg,46,38,348,126
ea097bbbe.jpg,0,121,865,348
43b40b78f.jpg,0,6,1024,272
ea05dd80d.jpg,17,27,964,396
62c6171bc.jpg,27,26,1021,248
965de6a7c.jpg,5,65,1016,456
2f1fd5a05.jpg,43,201,988,415
d354eccc8.jpg,2,142,978,459
ae2af8969.jpg,65,204,956,378
1ff4c316f.jpg,0,24,653,243
5b259d879.jpg,16,32,1010,560
33402fb91.jpg,43,14,887,435
9e2f7f7e3.jpg,23,129,478,253
9db2e3b3d.jpg,0,9,1050,236
3dc0f520e.jpg,98,262,904,472
dcd75585e.jpg,82,222,940,463
86f1f0148.jpg,81,224,998,462
28ff6317c.jpg,46,57,645,367
a41708032.jpg,0,7,1017,326
070e4a8b7.jpg,139,37,902,532
a16b4096a.jpg,64,97,847,311
94f209924.jpg,7,177,994,494
