Image,x0,y0,x1,y1
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/8a0c52c4.jpg,16,2,1035,435
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/c84e11ea.jpg,0,72,1032,331
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/2c414635.jpg,10,8,1034,211
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/bde97037.jpg,19,114,956,467
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/6cf33797.jpg,7,177,994,494
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/c21a104a.jpg,62,157,955,445
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/e2b9560b.jpg,22,107,1047,529
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/69f43da5.jpg,122,186,858,393
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/60e7dd2b.jpg,19,64,650,254
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/0e073d29.jpg,0,40,1017,505
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/b27e9470.jpg,39,158,969,366
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/810ca051.jpg,0,15,1028,447
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/3b1672ac.jpg,26,46,1011,568
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/785c3eaa.jpg,19,95,1026,319
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/a97783ca.jpg,34,116,941,439
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/7a97472d.jpg,12,1,855,199
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/c3961fe9.jpg,0,91,1050,494
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/971fc573.jpg,145,257,742,434
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/fdc86e6b.jpg,69,17,987,267
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/a40c47ef.jpg,0,3,1039,368
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/ff92447f.jpg,12,29,977,251
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/45aa6014.jpg,91,186,1002,461
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/200b53a2.jpg,6,4,1032,396
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/de481394.jpg,244,179,835,412
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/fec501c7.jpg,12,127,636,307
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/6ceea38b.jpg,0,64,1023,409
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/f19697e2.jpg,0,10,1023,392
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/f552fb07.jpg,1,5,1031,291
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/389f918f.jpg,94,33,975,420
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/17b3ee24.jpg,27,35,1041,303
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/a9522d8a.jpg,29,101,983,389
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/a70bb68f.jpg,155,168,884,423
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/1dbd18c5.jpg,104,199,824,391
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/56cf3fbb.jpg,7,53,1026,468
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/de2e860e.jpg,0,2,1035,267
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/34424154.jpg,18,3,541,249
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/5767e9fa.jpg,34,85,770,312
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/cab6c11b.jpg,13,50,1030,330
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/f27a704d.jpg,72,112,940,437
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/ef1a858e.jpg,19,130,1027,358
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/5a4d75b9.jpg,33,55,741,320
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/b158abdc.jpg,14,1,1039,219
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/f33f1df2.jpg,8,85,811,245
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/b2a74467.jpg,27,0,1050,546
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/9d56f8c3.jpg,1,97,920,335
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/e0fbe565.jpg,28,81,1003,398
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/6ae55fe5.jpg,49,155,1014,355
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/6c8686cb.jpg,188,157,861,416
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/08a8809b.jpg,10,140,1021,395
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/02cff75e.jpg,39,160,991,354
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/064d2674.jpg,8,4,1032,442
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/a7663de4.jpg,36,120,939,433
/data2/shentao/DATA/Kaggle/Whale_playground/train/train/bb031f73.jpg,4,34,889,361
