Image,x0,y0,x1,y1
0000e88ab.jpg,200,180,884,442
0001f9222.jpg,13,68,732,241
00029d126.jpg,18,33,1026,458
00050a15a.jpg,41,158,998,381
0005c1ef8.jpg,27,157,1015,356
0006e997e.jpg,17,4,950,243
000a6daec.jpg,37,0,1015,444
000f0f2bf.jpg,38,149,975,483
0016b897a.jpg,17,56,1032,378
001c1ac5f.jpg,0,111,980,431
001cae55b.jpg,15,29,1020,432
001d7450c.jpg,9,178,1015,442
00200e115.jpg,203,23,948,366
00245a598.jpg,28,79,1009,329
002b4615d.jpg,41,61,1001,406
002f99f01.jpg,19,26,879,398
00355ff28.jpg,12,4,1024,257
00357e37a.jpg,5,6,1040,333
003795857.jpg,3,5,1039,305
0041880bf.jpg,16,81,668,290
0043da555.jpg,59,216,927,535
00442c882.jpg,42,49,845,466
00464ff65.jpg,31,230,988,572
004775679.jpg,47,138,966,365
004ae9e26.jpg,6,0,1024,280
004c0f43b.jpg,28,157,998,412
004e8ad5b.jpg,30,119,989,487
004f87702.jpg,8,214,1014,519
0050ef29d.jpg,19,22,1017,367
00514c876.jpg,16,42,872,315
0052ce2f5.jpg,241,214,810,426
00537ec91.jpg,312,122,687,309
00570db6b.jpg,23,159,1017,415
005ce3100.jpg,34,121,982,392
00600ce17.jpg,30,83,999,475
006017ddf.jpg,14,3,1036,315
0060f764a.jpg,13,0,1027,271
006500b3d.jpg,15,0,1013,264
006506edf.jpg,16,3,1030,390
0067b3a20.jpg,111,257,933,516
006bdc6ff.jpg,36,100,1003,311
00713060e.jpg,18,6,1022,393
007218187.jpg,0,0,1032,688
0073118da.jpg,13,61,1020,319
007a7846f.jpg,10,15,1030,385
007b62e05.jpg,37,256,984,486
007f3eb46.jpg,13,21,1026,373
008124524.jpg,25,13,1020,274
0084fe40b.jpg,21,12,638,191
0085064af.jpg,30,16,842,410
0085a6bd0.jpg,58,146,858,420
00869b59e.jpg,50,51,773,305
008bf89fc.jpg,46,172,982,417
008ebc50d.jpg,7,54,1029,361
00910010d.jpg,294,261,710,452
00917baa4.jpg,5,110,914,360
0093454b6.jpg,31,34,1007,286
009431af0.jpg,0,0,963,642
009589b45.jpg,31,68,992,317
0095fe89c.jpg,34,193,987,453
00961802f.jpg,29,96,639,268
009687166.jpg,48,153,987,462
0096c8ff3.jpg,16,22,792,276
009c45bc7.jpg,73,144,989,468
00a3dd76f.jpg,11,94,1028,445
00a46c559.jpg,0,0,975,418
00a4de95e.jpg,18,27,1026,346
00a70e649.jpg,24,217,858,440
00a9dc47d.jpg,5,0,359,98
00aae723d.jpg,18,289,1014,588
00b7ffb8a.jpg,0,65,1040,480
00b92e9bf.jpg,23,81,680,299
00bc4dade.jpg,17,156,1018,421
00c59bce9.jpg,22,161,1003,386
00caa5c60.jpg,56,84,932,527
00cf9982e.jpg,15,130,1025,481
00d07df97.jpg,24,60,1019,340
00d1615b1.jpg,17,161,979,458
00d43f154.jpg,48,105,995,303
00d4a4967.jpg,70,157,944,508
00d641885.jpg,36,25,992,471
00d6cbcbf.jpg,150,239,902,413
00d7dc401.jpg,7,13,1014,507
00d831b06.jpg,31,19,956,271
00d9e8278.jpg,27,114,868,348
00dcd026f.jpg,31,185,1014,454
00de0f4c8.jpg,107,90,980,399
00ded1101.jpg,16,139,1013,408
00e059776.jpg,70,138,973,300
00e4afee9.jpg,19,163,1016,376
00e68dc59.jpg,10,197,1022,435
00e9e5122.jpg,50,187,980,384
00eaedfab.jpg,42,0,1004,220
00ec09075.jpg,14,134,676,303
00ec13a19.jpg,166,237,852,546
00f0bde81.jpg,28,26,1026,310
00f5927ae.jpg,6,151,846,413
00f5aba71.jpg,20,8,1025,243
00fee3975.jpg,324,237,768,405
010262224.jpg,10,9,1032,293
01043c88f.jpg,13,37,1015,326
01043cc4b.jpg,4,80,1027,429
01070510c.jpg,17,47,883,330
01078982f.jpg,54,100,986,293
0108c3e2b.jpg,19,72,1010,438
010a1f0eb.jpg,20,165,1013,413
010d37b13.jpg,23,39,677,382
011258703.jpg,22,234,1017,509
0117ac323.jpg,61,211,966,517
0118a64b8.jpg,43,164,977,438
01216c238.jpg,77,132,919,493
01237f1ce.jpg,33,91,1017,385
0124d2989.jpg,32,176,1021,500
01324f822.jpg,28,39,1000,257
0135bf774.jpg,67,139,718,302
0138b56d1.jpg,207,23,840,545
0139248b7.jpg,28,186,991,466
013935e54.jpg,14,59,1017,344
01396f4d1.jpg,10,179,1006,470
01425e516.jpg,116,132,917,451
0145d6294.jpg,21,4,1024,285
0148ba553.jpg,11,5,1032,305
0148dbdd2.jpg,31,2,1017,231
014a7cdf0.jpg,13,22,487,217
014c052b5.jpg,19,26,807,293
014c0deb5.jpg,9,16,1025,607
014c130f2.jpg,155,100,944,387
0150758c7.jpg,219,24,879,398
0150f16ec.jpg,24,8,1020,404
015889aa3.jpg,24,199,1013,361
01598711e.jpg,11,103,1023,501
0159c02d4.jpg,12,1,1022,245
015a0c58d.jpg,15,21,621,371
015b868a1.jpg,9,42,554,217
016173748.jpg,3,115,1022,435
0163ab035.jpg,0,80,1033,422
0165c60f3.jpg,13,18,359,102
016768c94.jpg,58,162,846,362
016791b76.jpg,73,38,944,364
01699beb5.jpg,38,0,995,167
016aa69cf.jpg,22,24,1013,263
016ac2f79.jpg,34,163,1021,448
016af7b1e.jpg,1,104,959,388
016dfbd1e.jpg,34,51,992,421
016f26c74.jpg,124,165,916,421
0172a0826.jpg,8,15,1046,530
0172cb96f.jpg,22,11,863,372
0173fc207.jpg,55,148,789,434
01751644e.jpg,32,155,1002,478
0175e8d3f.jpg,0,51,895,470
