Image,x0,y0,x1,y1
0000e88ab.jpg,176,152,888,419
0001f9222.jpg,0,74,749,239
00029d126.jpg,39,19,1016,470
00050a15a.jpg,50,166,982,375
0005c1ef8.jpg,62,148,998,333
0006e997e.jpg,0,2,963,250
000a6daec.jpg,11,0,1039,440
000f0f2bf.jpg,42,147,967,482
0016b897a.jpg,7,59,1042,374
001c1ac5f.jpg,14,105,963,418
001cae55b.jpg,12,22,1023,446
001d7450c.jpg,5,193,1019,439
00200e115.jpg,233,10,939,384
00245a598.jpg,11,80,1019,328
002b4615d.jpg,32,57,1001,420
002f99f01.jpg,6,9,853,408
00355ff28.jpg,0,7,1042,265
00357e37a.jpg,0,7,1042,339
003795857.jpg,0,0,1049,317
0041880bf.jpg,12,81,671,273
0043da555.jpg,34,222,942,541
00442c882.jpg,73,63,827,467
00464ff65.jpg,21,240,1000,581
004775679.jpg,26,159,980,364
004ae9e26.jpg,0,0,1040,289
004c0f43b.jpg,15,158,1007,411
004e8ad5b.jpg,54,111,969,495
004f87702.jpg,0,221,1024,523
0050ef29d.jpg,8,24,1027,373
00514c876.jpg,14,41,866,301
0052ce2f5.jpg,193,206,858,417
00537ec91.jpg,353,138,635,228
00570db6b.jpg,2,147,1022,420
005ce3100.jpg,23,129,976,384
00600ce17.jpg,0,70,1014,478
006017ddf.jpg,0,0,1045,326
0060f764a.jpg,0,0,1040,283
006500b3d.jpg,0,9,1034,263
006506edf.jpg,2,1,1038,400
0067b3a20.jpg,111,281,930,530
006bdc6ff.jpg,8,109,1027,307
00713060e.jpg,12,0,1031,422
007218187.jpg,0,141,1020,523
0073118da.jpg,0,60,1041,325
007a7846f.jpg,0,17,1038,393
007b62e05.jpg,11,310,1012,514
007f3eb46.jpg,9,13,1035,383
008124524.jpg,13,18,1036,274
0084fe40b.jpg,6,11,646,195
0085064af.jpg,29,12,843,415
0085a6bd0.jpg,74,141,835,402
00869b59e.jpg,35,26,801,293
008bf89fc.jpg,28,180,987,419
008ebc50d.jpg,0,53,1037,384
00910010d.jpg,288,271,629,436
00917baa4.jpg,7,115,907,352
0093454b6.jpg,12,32,1021,279
009431af0.jpg,0,132,952,488
009589b45.jpg,0,28,1031,334
0095fe89c.jpg,31,203,985,453
00961802f.jpg,18,102,640,266
009687166.jpg,50,152,985,471
0096c8ff3.jpg,6,19,800,286
009c45bc7.jpg,86,132,971,470
00a3dd76f.jpg,32,91,1016,435
00a46c559.jpg,140,75,820,327
00a4de95e.jpg,9,27,1029,349
00a70e649.jpg,11,234,856,440
00a9dc47d.jpg,0,1,364,100
00aae723d.jpg,4,304,1019,586
00b7ffb8a.jpg,1,61,1027,478
00b92e9bf.jpg,22,68,674,295
