Image,x0,y0,x1,y1
00022e1a.jpg,57,73,657,316
000466c4.jpg,241,288,586,407
00087b01.jpg,0,0,1038,364
001296d5.jpg,6,21,387,138
0014cfdf.jpg,16,116,651,296
0025e8c2.jpg,99,196,875,400
0026a8ab.jpg,3,12,1028,267
0031c258.jpg,0,7,1036,437
0035632e.jpg,9,4,827,373
0037e7d3.jpg,48,221,902,460
00389cd7.jpg,3,153,1019,467
0042dcc4.jpg,3,2,1047,336
0042ea34.jpg,2,21,528,203
00467ae9.jpg,110,107,905,442
004a97f3.jpg,6,64,674,337
004c5fb9.jpg,13,22,1034,389
005c57e7.jpg,36,158,759,324
006d0aaf.jpg,156,176,861,419
0078af23.jpg,24,12,1003,462
007c3603.jpg,24,63,783,372
00863b8c.jpg,18,51,826,316
008809b5.jpg,0,0,1037,319
008baccf.jpg,1,3,1023,311
0091c92b.jpg,209,210,819,389
009dca38.jpg,3,11,665,228
00a29f63.jpg,8,31,1030,315
00aa021c.jpg,45,99,659,307
00ab018e.jpg,0,0,1050,313
00ac0e86.jpg,8,37,1035,457
00acb5a9.jpg,7,29,559,201
00ad9219.jpg,0,11,1034,268
00af84d8.jpg,0,172,685,349
00b2c0cd.jpg,0,0,1040,450
00b588d6.jpg,34,59,839,208
00b7de10.jpg,0,0,1034,296
00be7f73.jpg,26,98,984,370
00be9148.jpg,41,88,988,492
00cf7bd3.jpg,0,27,958,319
00d3d48c.jpg,59,71,975,242
00d6b82e.jpg,14,26,661,323
00ded600.jpg,15,24,1030,452
00eab0e6.jpg,23,65,622,297
00ec0dcd.jpg,0,4,1040,232
00f22419.jpg,42,152,934,406
00f4c92c.jpg,97,262,916,497
0101d22b.jpg,87,40,875,509
010ecbb5.jpg,27,33,530,252
010f1fe2.jpg,17,122,672,313
011904f8.jpg,52,178,964,445
01228da4.jpg,0,0,1049,303
012621f1.jpg,7,39,394,180
01274a1e.jpg,12,83,1014,349
01321d88.jpg,0,0,1040,413
01496f0b.jpg,27,25,671,307
0162c72f.jpg,2,5,1042,339
01679a6d.jpg,33,132,999,422
01692e13.jpg,55,160,961,414
0171d221.jpg,28,118,982,357
0175c4c1.jpg,0,0,1039,253
017ec31f.jpg,28,157,991,443
018722ca.jpg,9,4,1040,256
018f26da.jpg,6,147,1019,453
01981e98.jpg,4,2,1041,478
019cd867.jpg,40,148,1017,408
01aaa81a.jpg,378,309,641,360
01b83639.jpg,6,5,529,272
01bd341c.jpg,0,82,711,291
01be6c48.jpg,173,271,753,435
01c11eaf.jpg,48,60,621,397
01c28f3b.jpg,0,188,1026,410
01cf1430.jpg,21,103,1011,400
01cf2e2e.jpg,6,124,967,367
01d117c5.jpg,0,0,1043,302
01d4467a.jpg,0,1,1041,276
01d890d8.jpg,75,179,968,504
01daeb5a.jpg,37,240,963,412
01dd608b.jpg,6,124,967,367
01e25788.jpg,0,0,1039,274
01e37453.jpg,48,111,982,494
01e490cf.jpg,21,65,970,450
01ec6749.jpg,316,339,728,459
01ed89f6.jpg,32,3,1013,518
01f17a15.jpg,10,175,1015,468
020028b2.jpg,135,427,547,532
02012946.jpg,5,85,689,266
02073b87.jpg,11,24,810,346
0217abfb.jpg,7,124,789,379
021dc6ac.jpg,272,412,824,512
02239d12.jpg,0,0,1046,420
0237ca7a.jpg,14,162,1011,414
024144e5.jpg,20,31,623,211
0243ca95.jpg,13,0,1038,335
02453c9f.jpg,232,97,807,406
024c6d37.jpg,21,167,1014,435
0252337b.jpg,107,283,878,523
02529c95.jpg,0,11,1036,264
02558f3a.jpg,231,250,784,377
025c0ecb.jpg,0,152,883,373
025fd2ea.jpg,3,83,1023,405
02608d7a.jpg,15,24,914,383
0260c382.jpg,57,22,926,355
